date	1B模块总分最高分	体育最高分	信息技术最高分	化学最高分	历史最高分	地理最高分	技术最高分	政治最高分	数学最高分	物理最高分	生物最高分	美术最高分	英语最高分	语文最高分	通用技术最高分	音乐最高分	1B模块总分最低分	体育最低分	信息技术最低分	化学最低分	历史最低分	地理最低分	技术最低分	政治最低分	数学最低分	物理最低分	生物最低分	美术最低分	英语最低分	语文最低分	通用技术最低分	音乐最低分
20131215		98										90				98		0										0				0
20140118				100	96	100		99	150	100	100		109	122						0	23	0		32	0	22	17		31	17		
20140318	57			94	85	87		74	146	120	80		142.5	118			0			14	22	29		26	0	36	18		28.5	64		
20140416	60			99	84	73		92	142	118	78		134	119			16			28	20	26		31	43	30	32		86	73		
20140421				100	97	100		99	100	100	98		100	96						29	31	53		40	23	21	47		37	31		
20140504	60			99	88	88		84	143	118	77		140.5	119			0			29	37	24		45	42	27	12		65.5	68		
20140514		96																0														
20140523	60			100	94	82		88	145	118	79		141.5	128			0			0	41	22		34	0	37	26		78	82		
20140620			100	98	93	99		99	100	100	98		100	97	100				38	20	31	45		39	25	37	47		34	39	48	
20140623		95										95				96		0										0				0
20141117			100	100	96	96		96	100	100	98		100	94	94				49	26	0	31		30	31	26	33		34	43	44	
20141127				96	89	78		88	143	116	72		113	118						22	36	27		47	44	18	18		56	75		
20141215	59			90	82	75		85	146	94	98		103.5	125			18			30	45	34		46	57	30	43		41	65		
20150112		97										95				98		34										65				70
20150131			100	100	92	91		98	150	99	100		112	125	100				44	28	29	39		41	30	10	22		13	54	50	
20150323	60			95	90	84		85	143	115	73		106	128			22			26	38	47		41	52	24	13		48.5	81.5		
20150422	60			97	78	90		92	143	120	79		109	119			22			23	24	50		38	42	32	37		42.5	83		
20150427			100	100	98	95		100	100	100	96		100	91	94				29	31	28	22		26	28	21	39		32	37	52	
20150504	60			96	77	87		84	150	120	77		109.5	126			22			27	19	41		24	47	33	23		39	86		
20150507		94																60														
20150525	60			98	95	100		88	150	120	78		141	133			3			32	40	39		38	26	24	26		10.5	84		
20150619		97										96				100		7										0				80
20150624			100	97	90	98		92	149	100	98		141	126	100				37	0	0	0		0	26	0	37		41	0	59	
20150830				100	95	93		89	150	97	95		100	116						18	26	42		30	18	26	43		54	77		
20151102				100	97	100		99	100	100	100		100	93	95					38	32	31		28	25	24	31		41	24	48	
20151217				95	87	75		89	144	98	91		106	125						32	46	36		52	36	39	31		39	83		
20160112		97										95				100		51										60				65
20160123				99	94	96	93	97	148	100	98		141	127						0	31	33	36	31	33	17	32		41	48		
20160324	60			96	89	84		85	150	113	80		143.5	121			22			28	38	43		41	41	33	18		99	67		
20160421	60			99	94	84		87	142	120	79		135.5	121			23			28	32	47		45	44	36	38		85.5	78		
20160425				100	97	94	88	95	98	100	100		99	90						30	40	48	25	37	30	25	0		49	43		
20160503	59			91	86	88		86	146	120	80		137	132			17			23	40	34		44	50	30	36		81.5	76		
20160510		95																0														
20160525	60			100	85	86		90	149	120	80		142.5	124			23			29	34	54		44	59	45	32		85.5	80		
20160608		98										95				96		39										60				75
20160620		98										98				96		0										0				0
20160627				100	97	95	95	95	147	100	100		139	125.5						27	33	46	36	39	30	35	38		29.5	44		
20160919				95.5	92.5	91	89.5	95		100	100		139.5							44	38	47	29	40.5		36.5	59		79			
20161026				99	91	93		91	142	100	100		100	122						27	31	41		29	27	26	37		37	39		
20161230		98										95				99		46										64				60
20170113				99	92	94	98	95	149	100	99		141	130.5						32	37	35	51.5	37	32	23	32		56	53		
20170313				97	92	85	85	99		99	91									19	40	41	44	39		40	46					
20170420				100	94	87	91	95	100	100	100		96	98						24	31	40	36	37	0	21	33		0	0		
20170502									147				138.5	124											57				89	79		
20170504		100																60														
20170508									133				145	116											30				90.5	58		
20170525									149				138.5	127											52				86.5	28		
20170628				98	98	91	90	95	98	99	100		96	82						0	0	0	0	0	0	0	0		0	0		
20170705				50	39	38		39	100	70	30		115	79						18	13	20		25	42	26	16		65.5	43		
20170920				92	95	94	93	94		97	97		135							36	56	44	0	56		40	50		81			
20171016				99	92	92	94	91		99	94		138.5							41	47	46	34	42		50	35		75.5			
20171115				99	99	97		91	146	100	99		97	97						0	0	0		0	25	0	0		0	42		
20171123				15	15	15	90	15	15	20	15		15	15						10	0	15	60	2	0	0	0		3	0		
20180102				15	15	15	14.9	15	15	15	15		15	15						12	2	10	0	0	0	0	8		0	0		
20180111		96										95				96		0										0				0
20180121				15	15	15	30	115	15	70	15		15	15						0	0	0	11	0	4	0	0		2	0		
20180123				99	100	100	94	97	100	100	97		100	98						48	45	45	35	50	46	47	47		51	26		
20180126				97	94	96	98.6	93	150	100	97		142	124						0	0	0	0	0	0	0	0		0	0		
20180315				96	91	91	87	91		95	96									43	50	44	0	51		43	53					
20180418				15	15	15	15	15	15	15	15		15	15						8	2	15	5	3	4	1	4		1	7		
20180423				100	96	95	94	92	100	100	99		97	95						31	29	45	22	24	39	30	23		40	41		
20180501		99										90						53										50				
20180503									147				137	121											42				80	80		
20180510									146				141.5	117											46				78	74		
20180527									150				142	129											56				38.5	88		
20180619							15	15	15		15		15	15									4.5	2	0		10		0	0		
20180624				98	96	92	75	94	143	99	97		135.5	127						34	38	35	28	31	27	43	19		62.5	70		
20180701				97	96	100	96	96	100	99	100		118.5	100						28	14	11	54	20	24	19	3		32	37		
20180920				94	93	85	91	90		92	95		139							34	50	40	0	49		27	44		71.5			
20181011				87	86	77	88	88		91	91		140							35	46	38	29	46		30	34		63			
20181023				15	15	15	15	15	15	15	15		15	15						11	6	10	7	1	4	0	8		3	0		
20181105				98	98.5	94.5		95	98	100	97		96.5	120.5						10	34.5	38		23	22	35	44		43	43		
20190103		99										98				99		50										60				80
